instance,OK?,Wrong Lines,Correction,lines.missing,lines.wrong,literals.missing,literals.wrong,grade.missing,grade.wrong,Synthesizable?,Pairing useful?,Fault identified?,Highlighter useful?,Comments,Extra Features,Depth
A_1_1,No,,"{ assign(A,1..k) } = 1 :- e(_,A).",1,0,2,0,Yes,,"Non-solution Found, Very Likely",No - solution too different,Yes (there are no buggy statements),No wrong parts,,"Intervals, Intervals in aggregate",N/A
A_3_1,No,"1{assign(X;Y,1..k)}1 :- e(X,Y).","2{assign((X;Y),1..k)}2 :- e(X,Y).",0,1,0,2,,Good,Likely,Unsupported,Partial,3/5,"Fault localization returns no bugs because the assign predicate used in the student solution is assign/1 and not assign/2. The program can technically be corrected without removing the incorrect line.
Other solutions are possible with less additions to the DSL at the cost of longer solutions. “2” constant would need to be obtained via 1+1","Intervals, Intervals in aggregate, Pooling",N/A
A_4_1,No,,"node(I0) :- e(_, I0).
node(I0) :- e(I0, _).",2,0,4,0,Yes (end),,Already Works,4/5,Yes (there are no buggy statements),No wrong parts,,,2
A_4_2,No,,"node(I0) :- e(_, I0).
node(I0) :- e(I0, _).
:- e(X,Y), assign(X,C), assign(Y,C).",3,0,7,0,No,,Maybe,4/5,Yes (there are no buggy statements),No wrong parts,"Needs 3 statements, one of them with several atoms",,2
A_4_3,No,,"v(N) :- e(_, N).
v(N) :- e(N, _).
assign(X, I) :- color(X, I).",3,0,6,0,No,,Maybe,3/5,Yes (there are no buggy statements),No wrong parts,"As an alternative, we could have a way for renaming predicates without resynthesizing the whole program.",Extra Predicate,2
A_4_4,No,"1 <= { assign(X,I): c(I) } <= 1 :- node(X).
:- assign(X,I), assign(Y,I), node(X,Y), color(I).","node(I0) :- e(_, I0).
node(I0) :- e(I0, _).
1 <= { assign(X,I): color(I) } <= 1 :- node(X).
:- assign(X,I), assign(Y,I), e(X,Y), color(I).",2,2,4,6,Yes,Bad,Unlikely,4/5,Partial,1/5,,,3
A_4_5,No,":- assign(X,I), assign(Y,I), edge(X,Y), color(I).","node(I0) :- e(_, I0).
node(I0) :- e(I0, _).
:- assign(X,I), assign(Y,I), e(X,Y), color(I).",2,1,4,4,Yes,Bad,Likely,,Partial,,,,2
A_4_6,No,":- edge(X,Y), assign(X,C), assign(Y,C).","node(I0) :- e(_, I0).
node(I0) :- e(I0, _).
:- e(X,Y), assign(X,C), assign(Y,C).",2,1,4,3,Yes,Good,Likely,,Partial,,,,2
A_4_7,No,"c(1..n).
v(1..n).","c(1..k).
v(N) :- e(_, N).
v(N) :- e(N, _).
assign(X, I) :- color(X, I).",2,2,4,3,Yes,Not in sketch?,Unlikely,,Partial,,"As an alternative, we could have a way for renaming predicates without resynthesizing the whole program.",Delete Statement,3
A_6_2,No,"assign(N,C) :- node(N), color(C).","1 { assign(N,C) : color(C) } 1 :- node(N).",0,1,0,3,,Good,Very Likely,,Not the first MCS,,The buggy line is a generate statement but the fault localizers indicates the test statement that uses the generated predicate instead,,3
A_6_3,No,"1 { assign(N,C) } 1 :- node(N), color(C).","1 { assign(N,C) : color(C) } 1 :- node(N).",0,1,0,3,,Not in sketch?,Very Likely,,Not the first MCS,,Same as above,,3
A_8_1,No,k(1..n).,k(1..k).,0,1,0,1,,Good,Very Likely,,Partial,,Wrong constant,Intervals,3
A_8_2,No,,k(1..k).,1,0,1,0,Yes,,Very Likely,,No (there are no buggy statements),,,Intervals,3
A_8_3,No,,k(1..k).,1,0,1,0,Yes,,Very Likely,,No (there are no buggy statements),,,Intervals,3
A_8_4,No,k(1..n).,k(1..k).,0,1,0,1,,Good,Very Likely,,No/Partial,,Wrong constant,Intervals,3
B_8_1,No,"n {sel(SET): e(SET, _)} n .","k { sel(I0) : e(I0, _) } k.",0,1,0,1,,Good,Already Works,,Yes,,Wrong constant used,,3
C_1_1,No,"sel(A) :- e(Y,A).
sel(B) :- e(Y,B), -e(Y,A).","k {sel(A) : e(Y,A)} k.
cov(X) :- e(X, S), sel(S).
:- not cov(X), e(X, _).",1,2,2,5,No,Not in sketch?,Very Unlikely,,No,,Whole program is wrong and needs to be replaced,,3
